년월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,경유지공항,도착_출발,정기_부정기,여객_화물,유임승객(명),무임승객(명),환승객(명),항공화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2021-01,CAL,CI,중화항공,국제,TPE,도착,정기,여객,76,0,36,127705,0,18261,3271
2021-01,CAL,CI,중화항공,국제,TPE,도착,부정기,화물,0,0,0,588469,0,55090,0
2021-01,CAL,CI,중화항공,국제,TPE,출발,정기,여객,141,3,25,133991,0,3395,5149
2021-01,CAL,CI,중화항공,국제,TPE,출발,부정기,화물,0,0,0,1130312,0,7490,0
2021-01,CCA,CA,중국국제항공,국제,HGH,도착,정기,여객,127,0,7,14347,0,23,3472
2021-01,CCA,CA,중국국제항공,국제,HGH,출발,정기,여객,613,3,0,5265,0,0,17274
2021-01,CCA,CA,중국국제항공,국제,PEK,도착,정기,여객,530,0,8,38604,0,5076,15304
2021-01,CCA,CA,중국국제항공,국제,PEK,출발,정기,여객,1007,2,0,47042,0,22513,27944
2021-01,CCA,CA,중국국제항공,국제,PVG,도착,부정기,화물,0,0,0,379510,0,0,0
2021-01,CCA,CA,중국국제항공,국제,PVG,출발,부정기,화물,0,0,0,257847,0,0,0
2021-01,CDC,GJ,룽에어,국제,LYI,도착,부정기,화물,0,0,0,2264,0,0,0
2021-01,CDC,GJ,룽에어,국제,LYI,출발,부정기,화물,0,0,0,6154,0,0,0
2021-01,CDG,SC,산동항공,국제,TAO,도착,정기,여객,576,1,1,4722,0,4721,16454
2021-01,CDG,SC,산동항공,국제,TAO,도착,부정기,화물,0,0,0,89032,0,0,0
2021-01,CDG,SC,산동항공,국제,TAO,출발,정기,여객,811,1,0,0,0,0,20850
2021-01,CDG,SC,산동항공,국제,TAO,출발,부정기,화물,0,0,0,75521,0,0,0
2021-01,CDG,SC,산동항공,국제,YNT,도착,정기,여객,155,2,0,0,0,0,4785
2021-01,CDG,SC,산동항공,국제,YNT,도착,부정기,화물,0,0,0,141122,0,0,0
2021-01,CDG,SC,산동항공,국제,YNT,출발,정기,여객,516,0,0,0,0,0,13188
2021-01,CDG,SC,산동항공,국제,YNT,출발,부정기,화물,0,0,0,68903,0,0,0
2021-01,CDG,SC,산동항공,국제,YNT,출발,부정기,여객,41,0,0,0,0,0,1239
2021-01,CEB,5J,세부퍼시픽항공,국제,MNL,도착,부정기,여객,181,12,0,71463,0,0,3710
2021-01,CEB,5J,세부퍼시픽항공,국제,MNL,출발,부정기,여객,88,2,3,284632,0,0,1600
